iso,GCAM_region_ID,year,scenario,temp_change,gdp
bhs,9,2020,SSP1,1C,5876.640123
bhs,9,2020,SSP1,2C,5876.640123
bhs,9,2020,SSP1,3C,5876.640123
bhs,9,2020,SSP1,4C,5876.640123
bih,15,2020,SSP1,1C,22279.26961
bih,15,2020,SSP1,2C,22279.26961
bih,15,2020,SSP1,3C,22279.26961
bih,15,2020,SSP1,4C,22279.26961
blr,14,2020,SSP1,1C,45080.70748
blr,14,2020,SSP1,2C,45080.70748
blr,14,2020,SSP1,3C,45080.70748
blr,14,2020,SSP1,4C,45080.70748
blz,9,2020,SSP1,1C,1231.984083
blz,9,2020,SSP1,2C,1231.984083
blz,9,2020,SSP1,3C,1231.984083
blz,9,2020,SSP1,4C,1231.984083
twn,30,2020,SSP1,1C,405460.6885
twn,30,2020,SSP1,2C,405460.6885
twn,30,2020,SSP1,3C,405460.6885
twn,30,2020,SSP1,4C,405460.6885
bol,26,2020,SSP1,1C,32088.47334
bol,26,2020,SSP1,2C,32088.47334
bol,26,2020,SSP1,3C,32088.47334
bol,26,2020,SSP1,4C,32088.47334
bra,7,2020,SSP1,1C,1872350.612
bra,7,2020,SSP1,2C,1872350.612
bra,7,2020,SSP1,3C,1872350.612
bra,7,2020,SSP1,4C,1872350.612
brb,9,2020,SSP1,1C,2665.496426
brb,9,2020,SSP1,2C,2665.496426
brb,9,2020,SSP1,3C,2665.496426
brb,9,2020,SSP1,4C,2665.496426
brn,29,2020,SSP1,1C,10394.00572
brn,29,2020,SSP1,2C,10394.00572
brn,29,2020,SSP1,3C,10394.00572
brn,29,2020,SSP1,4C,10394.00572
btn,27,2020,SSP1,1C,3394.484882
btn,27,2020,SSP1,2C,3394.484882
btn,27,2020,SSP1,3C,3394.484882
btn,27,2020,SSP1,4C,3394.484882
bwa,4,2020,SSP1,1C,18071.90536
bwa,4,2020,SSP1,2C,18071.90536
bwa,4,2020,SSP1,3C,18071.90536
bwa,4,2020,SSP1,4C,18071.90536
caf,5,2020,SSP1,1C,2917.79893
caf,5,2020,SSP1,2C,3013.721508
caf,5,2020,SSP1,3C,3132.2258
caf,5,2020,SSP1,4C,3270.797992
can,8,2020,SSP1,1C,1349010.122
can,8,2020,SSP1,2C,1349010.122
can,8,2020,SSP1,3C,1349010.122
can,8,2020,SSP1,4C,1349010.122
che,16,2020,SSP1,1C,445177.9351
che,16,2020,SSP1,2C,445177.9351
che,16,2020,SSP1,3C,445177.9351
che,16,2020,SSP1,4C,445177.9351
chl,26,2020,SSP1,1C,171775.6144
chl,26,2020,SSP1,2C,171775.6144
chl,26,2020,SSP1,3C,171775.6144
chl,26,2020,SSP1,4C,171775.6144
chn,11,2020,SSP1,1C,8745517.077
chn,11,2020,SSP1,2C,8725122.029
chn,11,2020,SSP1,3C,8700139.147
chn,11,2020,SSP1,4C,8670620.365
civ,5,2020,SSP1,1C,33776.07939
civ,5,2020,SSP1,2C,33776.07939
civ,5,2020,SSP1,3C,33776.07939
civ,5,2020,SSP1,4C,33776.07939
cmr,5,2020,SSP1,1C,37909.34751
cmr,5,2020,SSP1,2C,39114.7251
cmr,5,2020,SSP1,3C,40548.42759
cmr,5,2020,SSP1,4C,42432.84938
cod,5,2020,SSP1,1C,25832.73839
cod,5,2020,SSP1,2C,26681.98911
cod,5,2020,SSP1,3C,27731.16709
cod,5,2020,SSP1,4C,28958.01626
cog,5,2020,SSP1,1C,17650.25349
cog,5,2020,SSP1,2C,18230.5052
cog,5,2020,SSP1,3C,18947.35747
cog,5,2020,SSP1,4C,19785.60383
col,32,2020,SSP1,1C,292274.0768
col,32,2020,SSP1,2C,296928.3067
col,32,2020,SSP1,3C,305074.6545
col,32,2020,SSP1,4C,316039.5577
com,2,2020,SSP1,1C,386.2467085
com,2,2020,SSP1,2C,386.2467085
com,2,2020,SSP1,3C,386.2467085
com,2,2020,SSP1,4C,386.2467085
cpv,5,2020,SSP1,1C,1519.70411
cpv,5,2020,SSP1,2C,1519.70411
cpv,5,2020,SSP1,3C,1519.70411
cpv,5,2020,SSP1,4C,1519.70411
cri,9,2020,SSP1,1C,35494.64018
cri,9,2020,SSP1,2C,35494.64018
cri,9,2020,SSP1,3C,35494.64018
cri,9,2020,SSP1,4C,35494.64018
cub,9,2020,SSP1,1C,41573.28386
cub,9,2020,SSP1,2C,41573.28386
