scenario,region,sector,year,value,value_ref,prices_bysector_change
3CgSSP2,Africa_Western,resid heating,2100,1.68434,1.70401,-1.1543359487326996
3CgSSP2,Africa_Western,elec_CSP,2100,4.95892,4.99768,-0.7755598597749337
3CgSSP2,Africa_Western,regional dairy,2100,0.217355,0.218636,-0.5859053403831045
3CgSSP2,Africa_Western,NonFoodDemand_Meat,2100,0.313829,0.314624,-0.252682567127743
3CgSSP2,Africa_Western,regional beef,2100,3.18403,3.19052,-0.2034151172849531
3CgSSP2,Africa_Western,elec_biomass (IGCC CCS),2100,21823.6,21823.6,0
3CgSSP2,Africa_Western,elec_coal (conv pul CCS),2100,23657.2,23657.2,0
3CgSSP2,Africa_Western,elec_coal (IGCC CCS),2100,21348.7,21348.7,0
3CgSSP2,Africa_Western,elec_refined liquids (CC CCS),2100,12712,12712,0
3CgSSP2,Africa_Western,FodderGrass,2100,0.0378,0.0378,0
3CgSSP2,Africa_Western,UnmanagedLand,2100,-1,-1,-0
3CgSSP2,Africa_Western,elec_biomass (conv CCS),2100,28211.3,28211.2,3.5446914700028645e-4
3CgSSP2,Africa_Western,elec_gas (CC CCS),2100,9125.76,9125.72,4.383215790192239e-4
3CgSSP2,Africa_Western,carbon-storage,2100,1.5369,1.53688,0.001301337775227017
3CgSSP2,Africa_Western,alumina,2100,3.05206,3.05196,0.003276582917214218
3CgSSP2,Africa_Western,aluminum,2100,5.04891,5.04822,0.013668184033194345
3CgSSP2,Africa_Western,construction energy use,2100,34.7324,34.7187,0.03946000282268647
3CgSSP2,Africa_Western,FodderHerb,2100,0.0547549,0.0547331,0.039829646045998444
3CgSSP2,Africa_Western,resid cooling,2100,9.24597,9.24212,0.041657108974996096
3CgSSP2,Africa_Western,mining energy use,2100,29.3665,29.3538,0.04326526718857124
3CgSSP2,Africa_Western,agricultural energy use,2100,11.8925,11.8869,0.04711068487157613
3CgSSP2,Africa_Western,trn_freight_road,2100,0.127604,0.127538,0.051749282566750876
3CgSSP2,Africa_Western,delivered coal,2100,0.956529,0.955962,0.05931198102016442
3CgSSP2,Africa_Western,regional coal,2100,0.816529,0.815962,0.0694885301031156
3CgSSP2,Africa_Western,comm cooling,2100,5.07076,5.06706,0.07302064708135012
3CgSSP2,Africa_Western,elec_coal (IGCC),2100,1.53943,1.5383,0.07345771305987618
3CgSSP2,Africa_Western,regional poultry,2100,0.532624,0.532232,0.07365209156908038
3CgSSP2,Africa_Western,chemical,2100,30.7262,30.7014,0.08077807526692282
3CgSSP2,Africa_Western,regional pork,2100,0.811435,0.810769,0.08214423590443831
3CgSSP2,Africa_Western,regional soybean,2100,0.125004,0.124892,0.0896774813438819
3CgSSP2,Africa_Western,regional wheat,2100,0.0581401,0.0580876,0.09038073530322649
3CgSSP2,Africa_Western,construction,2100,17.6515,17.6348,0.09469911765373104
3CgSSP2,Africa_Western,cement,2100,0.027101,0.0270753,0.09492046256181844
3CgSSP2,Africa_Western,trn_freight,2100,0.105633,0.105532,0.09570556797938433
3CgSSP2,Africa_Western,elec_coal (conv pul),2100,1.64608,1.64442,0.10094744651609655
3CgSSP2,Africa_Western,FodderHerb_Residue,2100,0.0465081,0.0464607,0.10202170866989962
3CgSSP2,Africa_Western,elect_td_trn,2100,11.058,11.0453,0.11498103265642944
3CgSSP2,Africa_Western,comm others,2100,12.0757,12.0613,0.11939011549335636
3CgSSP2,Africa_Western,process heat cement,2100,5.24899,5.24255,0.1228409838723607
3CgSSP2,Africa_Western,industrial water treatment,2100,0.00620341,0.00619531,0.1307440628475487
3CgSSP2,Africa_Western,delivered biomass,2100,2.22069,2.21779,0.13076080242042315
3CgSSP2,Africa_Western,irrigation water abstraction,2100,0.0020814,0.00207868,0.13085227163393723
3CgSSP2,Africa_Western,industrial wastewater treatment,2100,0.0270853,0.0270499,0.13086924535764616
3CgSSP2,Africa_Western,elect_td_ind,2100,9.708,9.69531,0.13088802730393334
3CgSSP2,Africa_Western,industrial water abstraction,2100,0.00453073,0.0045248,0.13105551626591994
3CgSSP2,Africa_Western,electricity_net_ownuse,2100,7.67829,7.66778,0.13706705200201388
3CgSSP2,Africa_Western,electricity,2100,7.40552,7.39538,0.13711262977696637
3CgSSP2,Africa_Western,water_td_irr_ZambeziR_W,2100,1.47098e-4,1.46895e-4,0.13819394805813534
3CgSSP2,Africa_Western,regional biomass,2100,2.08069,2.07779,0.139571371505318
3CgSSP2,Africa_Western,trn_shipping_intl,2100,0.00224005,0.00223672,0.14887871526162144
3CgSSP2,Africa_Western,elec_biomass (IGCC),2100,4.59011,4.5832,0.15076802234247721
3CgSSP2,Africa_Western,iron and steel,2100,0.34466,0.344139,0.15139231531446573
3CgSSP2,Africa_Western,elect_td_bld,2100,11.4667,11.4493,0.15197435651088106
3CgSSP2,Africa_Western,municipal water treatment,2100,0.00970081,0.00968608,0.1520739039941957
3CgSSP2,Africa_Western,municipal water abstraction,2100,0.00360857,0.00360309,0.15209167686624483
